"munResCod";"munResStatus";"munResTipo";"munResNome";"munResUf";"munResLat";"munResLon";"munResAlt";"munResArea"
140020;"ATIVO";"MUNIC";"Caracaraí";"Roraima";1,80387;-61,14918;50;47408,903
140023;"ATIVO";"MUNIC";"Caroebe";"Roraima";0,87267;-59,69481;129;12065,902
140028;"ATIVO";"MUNIC";"Iracema";"Roraima";2,16821;-61,05226;81;14412,688
140030;"ATIVO";"MUNIC";"Mucajaí";"Roraima";2,47977;-60,91152;70;12461,21
140040;"ATIVO";"MUNIC";"Normandia";"Roraima";3,88298;-59,63521;103;6966,811
140045;"ATIVO";"MUNIC";"Pacaraima";"Roraima";4,47526;-61,14731;912;8028,483
140047;"ATIVO";"MUNIC";"Rorainópolis";"Roraima";0,9372;-60,42506;84;33595,602
140050;"ATIVO";"MUNIC";"São João da Baliza";"Roraima";0,94716;-59,90604;121;4284,506
140060;"ATIVO";"MUNIC";"São Luiz";"Roraima";1,01811;-60,02827;116;1526,888
140070;"ATIVO";"MUNIC";"Uiramutã";"Roraima";4,58544;-60,19572;606;8065,564
150000;"IGNOR";"IGNOR";"Município ignorado - PA";"Pará";NA;NA;NA;NA
150010;"ATIVO";"MUNIC";"Abaetetuba";"Pará";-1,72347;-48,8844;10;1610,408
150013;"ATIVO";"MUNIC";"Abel Figueiredo";"Pará";-4,95139;-48,39676;193;614,131
150020;"ATIVO";"MUNIC";"Acará";"Pará";-1,96344;-48,20046;7;4343,805
150030;"ATIVO";"MUNIC";"Afuá";"Pará";-0,15917;-50,39143;3;8372,795
150034;"ATIVO";"MUNIC";"Água Azul do Norte";"Pará";-6,80495;-50,48527;296;7113,961
150040;"ATIVO";"MUNIC";"Alenquer";"Pará";-1,9514;-54,74086;39;23645,452
150050;"ATIVO";"MUNIC";"Almeirim";"Pará";-1,52734;-52,57684;19;72954,798
150060;"ATIVO";"MUNIC";"Altamira";"Pará";-3,20566;-52,21438;105;159533,255
150070;"ATIVO";"MUNIC";"Anajás";"Pará";-0,98445;-49,945;5;6912,527
150080;"ATIVO";"MUNIC";"Ananindeua";"Pará";-1,36871;-48,37207;27;190,451
150085;"ATIVO";"MUNIC";"Anapu";"Pará";-3,4761;-51,20162;56;11895,296
150090;"ATIVO";"MUNIC";"Augusto Corrêa";"Pará";-1,02292;-46,64165;16;1091,541
150095;"ATIVO";"MUNIC";"Aurora do Pará";"Pará";-2,12938;-47,55617;41;1811,84
150100;"ATIVO";"MUNIC";"Aveiro";"Pará";-3,6056;-55,33073;15;17074,051
150110;"ATIVO";"MUNIC";"Bagre";"Pará";-1,88981;-50,22199;2;4397,321
150120;"ATIVO";"MUNIC";"Baião";"Pará";-2,79196;-49,67275;31;3758,297
150125;"ATIVO";"MUNIC";"Bannach";"Pará";-7,35107;-50,40605;401;2956,649
150130;"ATIVO";"MUNIC";"Barcarena";"Pará";-1,50577;-48,62707;7;1310,588
150140;"ATIVO";"MUNIC";"Belém";"Pará";-1,45985;-48,48783;8;1059,458
150145;"ATIVO";"MUNIC";"Belterra";"Pará";-2,64902;-54,94267;168;4398,419
150150;"ATIVO";"MUNIC";"Benevides";"Pará";-1,36144;-48,24184;32;187,826
150157;"ATIVO";"MUNIC";"Bom Jesus do Tocantins";"Pará";-5,04736;-48,59904;172;2816,616
150160;"ATIVO";"MUNIC";"Bonito";"Pará";-1,36747;-47,30589;55;586,736
150170;"ATIVO";"MUNIC";"Bragança";"Pará";-1,05352;-46,76575;16;2091,93
150172;"ATIVO";"MUNIC";"Brasil Novo";"Pará";-3,2978;-52,54344;189;6362,575
150175;"ATIVO";"MUNIC";"Brejo Grande do Araguaia";"Pará";-5,7073;-48,40576;221;1288,477
150178;"ATIVO";"MUNIC";"Breu Branco";"Pará";-3,77814;-49,56988;95;3941,911
150180;"ATIVO";"MUNIC";"Breves";"Pará";-1,69074;-50,48089;10;9562,24
150190;"ATIVO";"MUNIC";"Bujaru";"Pará";-1,51399;-48,03588;17;1005,168
150195;"ATIVO";"MUNIC";"Cachoeira do Piriá";"Pará";-1,7529;-46,54739;49;2461,965
150200;"ATIVO";"MUNIC";"Cachoeira do Arari";"Pará";-1,00879;-48,96067;10;3100,261
150210;"ATIVO";"MUNIC";"Cametá";"Pará";-2,24684;-49,49783;11;3081,367
150215;"ATIVO";"MUNIC";"Canaã dos Carajás";"Pará";-6,5322;-49,84896;296;3146,407
150220;"ATIVO";"MUNIC";"Capanema";"Pará";-1,19244;-47,17513;27;614,693
150230;"ATIVO";"MUNIC";"Capitão Poço";"Pará";-1,74619;-47,06283;65;2899,553
150240;"ATIVO";"MUNIC";"Castanhal";"Pará";-1,29576;-47,92664;47;1028,889
150250;"ATIVO";"MUNIC";"Chaves";"Pará";-0,16244;-49,98932;12;13084,755
150260;"ATIVO";"MUNIC";"Colares";"Pará";-0,93209;-48,28873;12;609,792
150270;"ATIVO";"MUNIC";"Conceição do Araguaia";"Pará";-8,26486;-49,2645;180;5829,482
150275;"ATIVO";"MUNIC";"Concórdia do Pará";"Pará";-1,98452;-47,94989;49;690,947
150276;"ATIVO";"MUNIC";"Cumaru do Norte";"Pará";-7,81111;-50,77158;312;17085,001
150277;"ATIVO";"MUNIC";"Curionópolis";"Pará";-6,09682;-49,60221;211;2369,098
150280;"ATIVO";"MUNIC";"Curralinho";"Pará";-1,80942;-49,79152;2;3617,252
150285;"ATIVO";"MUNIC";"Curuá";"Pará";-1,88993;-55,11968;23;1431,157
150290;"ATIVO";"MUNIC";"Curuçá";"Pará";-0,7325;-47,85127;16;672,675
150293;"ATIVO";"MUNIC";"Dom Eliseu";"Pará";-4,29078;-47,55591;261;5268,815
150295;"ATIVO";"MUNIC";"Eldorado do Carajás";"Pará";-6,10353;-49,37395;139;2956,688
150300;"ATIVO";"MUNIC";"Faro";"Pará";-2,17298;-56,74575;19;11770,628
150304;"ATIVO";"MUNIC";"Floresta do Araguaia";"Pará";-7,5587;-49,69758;188;3444,285
150307;"ATIVO";"MUNIC";"Garrafão do Norte";"Pará";-1,9317;-47,04505;46;1599,028
150309;"ATIVO";"MUNIC";"Goianésia do Pará";"Pará";-3,84247;-49,10104;83;7023,941
150310;"ATIVO";"MUNIC";"Gurupá";"Pará";-1,40492;-51,6437;16;8540,113
150320;"ATIVO";"MUNIC";"Igarapé-Açu";"Pará";-1,12432;-47,62238;43;785,983
150330;"ATIVO";"MUNIC";"Igarapé-Miri";"Pará";-1,98312;-48,9623;9;1996,79
